draw,cards_left,p_lose,p_win,bank_value,reward,ev_win,ev_lose,ev_draw,rw_round,bn_rd,ev_win_rd,ev_lose_rd,ev_rd
1,17,0.058823529411764705,0.9411764705882353,0,8.553125000000001,8.05,0,8.05,8.6,0,8.094117647058823,0,8.094117647058823
2,16,0.0625,0.9375,8.553125000000001,9.156875000000001,8.5845703125,0.5345703125000001,8.05,9.200000000000001,8.6,8.625000000000002,0.5375,8.087500000000002
3,15,0.06666666666666667,0.9333333333333333,17.71,9.89,9.230666666666668,1.1806666666666668,8.05,9.9,17.8,9.24,1.1866666666666668,8.053333333333333
4,14,0.07142857142857142,0.9285714285714286,27.6,10.792307692307693,10.021428571428572,1.9714285714285715,8.05,10.8,27.700000000000003,10.02857142857143,1.9785714285714286,8.05
5,13,0.07692307692307693,0.9230769230769231,38.392307692307696,11.920192307692309,11.003254437869824,2.953254437869823,8.05,11.9,38.5,10.984615384615385,2.9615384615384617,8.023076923076923
6,12,0.08333333333333333,0.9166666666666666,50.31250000000001,13.35568181818182,12.242708333333335,4.192708333333334,8.05,13.4,50.400000000000006,12.283333333333333,4.2,8.083333333333332
7,11,0.09090909090909091,0.9090909090909091,63.66818181818183,15.221818181818184,13.838016528925621,5.788016528925621,8.05,15.200000000000001,63.800000000000004,13.818181818181818,5.800000000000001,8.018181818181818
8,10,0.1,0.9,78.89000000000001,17.710000000000004,15.939000000000004,7.889000000000002,8.05,17.7,79,15.93,7.9,8.03
9,9,0.1111111111111111,0.8888888888888888,96.60000000000002,21.13125000000001,18.78333333333334,10.733333333333336,8.050000000000002,21.1,96.7,18.755555555555556,10.744444444444444,8.011111111111113
10,8,0.125,0.875,117.73125000000003,26.018750000000004,22.766406250000003,14.716406250000004,8.049999999999999,26,117.80000000000001,22.75,14.725000000000001,8.024999999999999
11,7,0.14285714285714285,0.8571428571428572,143.75000000000003,33.35,28.58571428571429,20.53571428571429,8.05,33.4,143.8,28.62857142857143,20.542857142857144,8.085714285714285
12,6,0.16666666666666666,0.8333333333333334,177.10000000000002,45.080000000000005,37.56666666666667,29.51666666666667,8.05,45.1,177.2,37.583333333333336,29.53333333333333,8.050000000000004
13,5,0.2,0.8,222.18000000000004,65.6075,52.486000000000004,44.43600000000001,8.049999999999997,65.60000000000001,222.3,52.48000000000001,44.46000000000001,8.020000000000003
14,4,0.25,0.75,287.7875,106.66250000000001,79.996875,71.946875,8.049999999999997,106.7,287.90000000000003,80.025,71.97500000000001,8.049999999999997
15,3,0.3333333333333333,0.6666666666666667,394.45000000000005,209.3,139.53333333333336,131.48333333333335,8.050000000000011,209.3,394.6,139.53333333333336,131.53333333333333,8.000000000000028
16,2,0.5,0.5,603.75,619.85,309.925,301.875,8.050000000000011,619.8000000000001,603.9,309.90000000000003,301.95,7.9500000000000455
17,1,1,0,1223.6,Inf,NA,1223.6,NA,0,1223.7,NA,1223.7,NA
